capacity,failure_pct_change,routing_improvement_pct,price_of_priority_pct,found_divergent_route,failed_edge_betweenness,failed_edge_utilization
500,0.06127824434264977,0.0011780510398632514,0.054841768774247825,True,0.004331760897049377,0.043207020808002754
500,0.039385792204217965,0.009463023839767737,0.12587063590892097,True,0.001263533112290633,0.25887829930140743
500,-0.008559319280438937,0.0002756733525638884,0.1336418420268074,True,0.00018277475994957546,0.05476055271809065
1000,0.03436953995173586,0.0018457257487581311,0.024023820786440435,True,0.0009734500837096451,0.5702523150834524
1000,0.01477847187202296,0.000278769404635917,0.09042754154267973,True,0.002183743433153688,0.35935301414631093
1000,0.03535351767037172,0.0,0.11198792191272083,False,0.0013202496291346121,0.2120088463116484
1000,0.008725740708499777,0.02666856862881182,0.2738236898216905,True,0.0009495901733324724,0.0734238099653981
1000,0.6636039894009436,0.2609283001127046,0.13010796478007142,True,0.004230413089055782,0.18801015781830674
1000,0.29405130756909537,0.0,0.17731784864074987,False,0.02245329614448707,0.40680298428534956
1000,0.022058496028285156,0.03557070661150085,0.7238163916751542,True,0.0021607394807557747,0.18801015781830674
1000,0.5453458868355692,0.0,0.19386953178099267,False,0.004835441123148079,0.4689986065526254
1000,0.02971090264469059,0.0,0.17411739589666522,False,0.00021022799410304687,0.2120088463116484
1000,0.24202483127824492,0.02403888951826089,0.036445175326899185,True,0.004636994986612853,0.43449070149765534
1000,0.040840638167065096,0.0,0.19193824554105757,False,0.0008030908384109595,0.21917487185572782
1000,-0.029637983061599742,0.0,0.1685520375954395,False,0.002183743433153688,0.1480161474459282
1000,0.03693919263473712,0.004210309661135228,0.018929479562269137,True,0.0003124546805494131,0.11949340077752303
1000,0.11070243531070137,0.017021580876520188,0.3588895670684238,True,0.004333254977627515,0.11949340077752303
1000,0.5340727013329165,0.019835518235819125,0.24029893886342502,True,0.001288593174162923,0.251454812958202
1000,0.10384914028495952,0.2224092453157161,0.09062698134438166,True,0.0020500106010493233,0.2567573710681618
1000,0.014402247182059201,0.0004228216077034881,0.3607489157313558,True,0.0022114084380851808,0.2278472911790222
1000,0.07804987741003563,0.0006282149262032975,0.03787593090508228,True,0.00018235336377046615,0.32497755639293346
1000,0.023285997120990182,0.0018385661155998867,0.07276821010980827,True,0.0022444321118080114,0.25501426023742646
1000,0.10323129430814257,0.0,0.17419171084850582,False,0.0020500106010493233,0.2567573710681618
1000,-0.025192867163609113,0.0013456294191268247,0.08407493346885282,True,0.013630048132727958,0.2713629369842017
1000,0.1024800604430744,0.5288012270511394,0.20616634263661954,True,0.0006732283479623155,0.21754379359442333
1000,0.1138120489364746,0.0,0.17560604345891798,False,0.0009734500837096451,0.26304759589192606
1000,0.05019288406271704,0.00039284875999757497,0.026260465197585816,True,0.00013249847568125322,0.2120088463116484
1000,0.1673458854792611,0.0,0.1683601481632256,False,0.006312837840472012,0.40680298428534956
1000,0.08946797872433515,0.0,0.2908630101910534,False,0.00021190516723244523,0.21531582964192753
1000,0.006630935873420457,0.39980617407286256,0.35514288394300114,True,0.0012782170706029294,0.2893032680516953
1000,0.033586219897421096,0.04753278151473956,0.7618392796783304,True,0.0013202496291346121,0.2120088463116484
2000,0.09902380344116245,0.007611535090109529,0.03586957109120493,True,0.007073745669328017,0.09202851143183759
2000,0.12554276601623476,0.0,0.014985489206944523,False,0.001454594761486911,0.12589103415929753
2000,0.1029510214589607,0.0,0.014130405988866957,False,0.0022541660504964557,0.13093679579343245
2000,0.11999548964726395,0.022303006661118945,0.028406167149021493,True,9.90792644594248e-05,0.10877189679721166
2000,0.008942529974569333,0.0,0.01522367047438667,False,0.0017925696132043813,0.03671190498269905
2000,0.10219194645378334,0.0,0.015980711680702985,False,0.0012854146257222502,0.20888110922122885
2000,0.018035128610717703,0.010559718537890018,0.0325703067261981,True,0.00013170328202652182,0.07743997762020735
2000,0.07529393067403652,0.0,0.011529046159996191,False,0.019412559857539768,0.07743997762020735
2000,0.04392489702754933,0.0,0.012013512237419284,False,9.203323189533967e-05,0.1486904188295744
