trial_seed,snapshot_index,failed_edge,failed_edge_betweenness,failed_edge_utilization,baseline_time,failure_time,failure_pct_change,emergency_od,found_divergent_route,routing_improvement_pct,price_of_priority_pct
77,6546,"(73, 70)",0.011718965033005317,0.36963211479099245,1040140.0539677741,1048202.5574139098,0.7751363304758827,"(160, 70)",True,0.001063866507668433,0.016145534762759567
78,6672,"(67, 115)",0.0033885017745241366,0.44702216303475,1212190.057102107,1213956.8095210602,0.14574879645332772,"(160, 70)",True,0.0008181731955242836,0.024057034258558232
79,1190,"(129, 147)",0.00035116706895296974,0.21756554834168798,1095591.094380448,1096327.9773766338,0.06725894359358468,"(100, 72)",False,0.0,0.10139603699110618
80,2224,"(115, 142)",0.0022114084380851808,0.2278472911790222,1027968.8235770152,1028115.8613406548,0.014303718193314451,"(100, 72)",False,0.0,0.17753906610772052
81,4144,"(135, 177)",0.00021190516723244523,0.43449070149765534,1081248.678834005,1083383.8086109313,0.19746889117392705,"(166, 164)",True,0.049568470830059885,0.14075936817116574
83,4064,"(133, 49)",0.001955290330947851,0.08980977372192347,2212131.1872430732,2212376.6101319944,0.011094409334148615,"(166, 164)",True,0.06136213920523308,0.037471670441506955
84,5992,"(84, 146)",0.00019223606883660353,0.2607129800474524,1025247.0271408705,1026201.63530037,0.09311006364600047,"(1, 206)",True,0.2992078706753416,0.12967928290306302
85,1635,"(185, 151)",8.288832159663734e-05,0.2607129800474524,1037450.558553096,1037926.4454518624,0.0458708026944527,"(100, 72)",False,0.0,0.17674502754654606
86,6484,"(10, 156)",0.0033495927332989387,0.11954767705766568,1168282.3246295187,1173212.3910920806,0.42199272886588934,"(166, 164)",True,0.00012245955798612248,0.48872382805483366
87,1195,"(60, 81)",0.00975857654598322,0.32857164115355164,1169418.5977712802,1169473.0789605707,0.004658826992691877,"(24, 94)",True,0.0016056687050170367,0.7399888272030402
88,3256,"(56, 170)",0.015768840213477766,0.05625268880566674,1042997.9161548072,1043122.4046102447,0.011935637982520743,"(100, 72)",False,0.0,0.14780517276363725
89,664,"(187, 191)",0.000499680824058777,0.21917487185572782,1067263.956636419,1067807.6773571526,0.0509452902773089,"(100, 72)",False,0.0,0.15712649364638728
90,1668,"(34, 186)",0.0003611462876975752,0.18923743594366155,1064080.858467652,1065335.2307307615,0.11788317148340818,"(166, 164)",True,0.02666633981612775,0.2757262193247027
91,684,"(168, 171)",0.0017384625353993877,0.1466102708104351,1051404.412754509,1051418.2173655406,0.0013129687172891633,"(1, 206)",True,0.013194197446766498,0.18923501307106075
92,3449,"(151, 84)",0.0015462896318246058,0.4073232508578875,2213499.4420953332,2214335.049780764,0.03775052613701621,"(40, 58)",True,0.0010358547208594972,0.009833748181306804
93,4049,"(167, 62)",0.0004148751801423466,0.2799009602326828,2213792.3842265205,2216680.658603836,0.13046726503779363,"(166, 164)",True,0.02708728315508954,0.10824549519802482
94,4479,"(58, 13)",0.00042754058738493904,0.0009957810291769628,1197664.5848952709,1197633.5104731228,-0.0025945847059319713,"(24, 94)",True,0.005883812504949476,0.38878565605561655
95,6227,"(157, 97)",0.0007666651912881468,0.35336775247662344,1065418.544133872,1065508.787358799,0.008470213459664745,"(100, 72)",False,0.0,0.17050554444765673
96,3035,"(82, 76)",0.0009887324904227991,0.7078205387233707,1387042.305710439,1388520.5621993812,0.10657616446564813,"(40, 58)",True,1.306988864832921e-05,0.015424860456852532
97,1593,"(117, 72)",0.0003022529952659697,0.6781659212695513,1109247.412360921,1115567.9619711824,0.5698052156649785,"(100, 72)",True,0.004739615827546661,0.1665471470475376
98,2919,"(175, 67)",0.017049557003126735,0.2278472911790222,1096720.524656968,1098888.9965593463,0.19772328990164778,"(100, 72)",False,0.0,0.2426680678093888
99,3309,"(104, 34)",0.0020936955800874074,0.18923743594366155,1306812.9703883575,1307923.2811354208,0.0849632481634531,"(166, 164)",True,0.06891035045093521,0.6517394614954747
